TSTNO,VIN,OCCLOC,PP_TTF_LAP,PP_force_LAP,PP_TTF_SHOULDER,PP_force_SHOULDER,LL_first,LL_second
486,1G1AX68R2CT190076,02,0.0,0.0,0.0,0.0,5.54,0.0
492,1G1AX68R0CT190805,01,0.0,0.0,0.0,0.0,5.5,0.0
492,1G1AX68R0CT190805,02,0.0,0.0,0.0,0.0,6.73,0.0
494,1G1AX68R3CT190801,01,0.0,0.0,0.0,0.0,6.3,0.0
494,1G1AX68R3CT190801,02,0.0,0.0,0.0,0.0,5.62,0.0
495,1G1AX68RXCT190780,01,0.0,0.0,0.0,0.0,0.0,0.0
495,1G1AX68RXCT190780,02,0.0,0.0,0.0,0.0,0.0,0.0
496,JT2RT36E7C0027812,01,0.0,0.0,0.0,0.0,0.0,0.0
496,JT2RT36E7C0027812,02,0.0,0.0,0.0,0.0,0.0,0.0
514,1B3BE46C3DC122876,01,0.0,0.0,0.0,0.0,3.6,0.0
514,1B3BE46C3DC122876,02,0.0,0.0,0.0,0.0,0.0,0.0
515,2G1AN6994D1117500,01,0.0,0.0,0.0,0.0,0.0,0.0
515,2G1AN6994D1117500,02,0.0,0.0,0.0,0.0,0.0,0.0
522,JM1BD241XB0506773,01,0.0,0.0,0.0,0.0,0.0,0.0
522,JM1BD241XB0506773,02,0.0,0.0,0.0,0.0,0.0,0.0
523,1G1AD27G4CC103005,01,0.0,0.0,0.0,0.0,0.0,0.0
523,1G1AD27G4CC103005,02,0.0,0.0,0.0,0.0,6.45,0.0
545,None,01,0.0,0.0,0.0,0.0,4.67,0.0
545,None,02,0.0,0.0,0.0,0.0,4.36,0.0
550,1C3BC45B1CG179876,01,0.0,0.0,0.0,0.0,0.0,0.0
550,1C3BC45B1CG179876,02,0.0,0.0,0.0,0.0,0.0,0.0
552,1G1AX68R6CT190789,01,0.0,0.0,0.0,0.0,5.02,0.0
552,1G1AX68R6CT190789,02,0.0,0.0,0.0,0.0,0.0,0.0
563,JT2AE72W8D5007134,01,0.0,0.0,0.0,0.0,0.0,0.0
563,JT2AE72W8D5007134,02,0.0,0.0,0.0,0.0,0.0,0.0
567,None,01,0.0,0.0,0.0,0.0,0.0,0.0
567,None,02,0.0,0.0,0.0,0.0,0.0,0.0
569,2FABPO140DX110274,01,0.0,0.0,0.0,0.0,0.0,0.0
569,2FABPO140DX110274,02,0.0,0.0,0.0,0.0,0.0,0.0
573,YV1DX6945D1015481,01,0.0,0.0,0.0,0.0,0.0,0.0
573,YV1DX6945D1015481,02,0.0,0.0,0.0,0.0,0.0,0.0
574,1G2AS8729DN203924,01,0.0,0.0,0.0,0.0,0.0,0.0
574,1G2AS8729DN203924,02,0.0,0.0,0.0,0.0,5.2,0.0
575,None,01,0.0,0.0,0.0,0.0,0.0,0.0
575,None,02,0.0,0.0,0.0,0.0,0.0,0.0
576,None,01,0.0,0.0,0.0,0.0,0.0,0.0
576,None,02,0.0,0.0,0.0,0.0,0.0,0.0
579,None,01,0.0,0.0,0.0,0.0,0.0,0.0
579,None,02,0.0,0.0,0.0,0.0,0.0,0.0
580,1FMBU14S1EUA07016,01,0.0,0.0,0.0,0.0,0.0,0.0
580,1FMBU14S1EUA07016,02,0.0,0.0,0.0,0.0,0.0,0.0
583,None,01,0.0,0.0,0.0,0.0,0.0,0.0
583,None,02,0.0,0.0,0.0,0.0,0.0,0.0
586,None,01,0.0,0.0,0.0,0.0,0.0,0.0
586,None,02,0.0,0.0,0.0,0.0,0.0,0.0
587,None,01,0.0,0.0,0.0,0.0,0.0,0.0
587,None,02,0.0,0.0,0.0,0.0,0.0,0.0
588,VF3BA1164DS334031,01,0.0,0.0,0.0,0.0,0.0,0.0
588,VF3BA1164DS334031,02,0.0,0.0,0.0,0.0,0.0,0.0
589,None,01,0.0,0.0,0.0,0.0,0.0,0.0
589,None,02,0.0,0.0,0.0,0.0,0.0,0.0
593,1P3BP49C5DF147846,01,0.0,0.0,0.0,0.0,0.0,0.0
593,1P3BP49C5DF147846,02,0.0,0.0,0.0,0.0,0.0,0.0
594,None,01,0.0,0.0,0.0,0.0,0.0,0.0
594,None,02,0.0,0.0,0.0,0.0,0.0,0.0
598,JN1MN23S9DM101390,01,0.0,0.0,0.0,0.0,0.0,0.0
598,JN1MN23S9DM101390,02,0.0,0.0,0.0,0.0,0.0,0.0
599,JM1GC2212D1502287,01,0.0,0.0,0.0,0.0,6.41,0.0
599,JM1GC2212D1502287,02,0.0,0.0,0.0,0.0,0.0,0.0
600,None,01,0.0,0.0,0.0,0.0,0.0,0.0
600,None,02,0.0,0.0,0.0,0.0,0.0,0.0
605,1G1AC35P0D7194635,01,0.0,0.0,0.0,0.0,0.0,0.0
605,1G1AC35P0D7194635,02,0.0,0.0,0.0,0.0,0.0,0.0
606,1FABP4638DH108800,01,0.0,0.0,0.0,0.0,0.0,0.0
606,1FABP4638DH108800,02,0.0,0.0,0.0,0.0,0.0,0.0
612,1MEBP9234EH600124,01,0.0,0.0,0.0,0.0,0.0,0.0
612,1MEBP9234EH600124,02,0.0,0.0,0.0,0.0,0.0,0.0
613,1G1AY0785E5103118,01,0.0,0.0,0.0,0.0,0.0,0.0
613,1G1AY0785E5103118,02,0.0,0.0,0.0,0.0,0.0,0.0
624,2G3AR47A9E2301551,01,0.0,0.0,0.0,0.0,0.0,0.0
624,2G3AR47A9E2301551,02,0.0,0.0,0.0,0.0,0.0,0.0
625,1G2AL69A3EX200657,01,0.0,0.0,0.0,0.0,0.0,0.0
625,1G2AL69A3EX200657,02,0.0,0.0,0.0,0.0,0.0,0.0
632,1XMDC9969EK101176,01,0.0,0.0,0.0,0.0,0.0,0.0
632,1XMDC9969EK101176,02,0.0,0.0,0.0,0.0,0.0,0.0
633,1JCUM87E3ET011004,01,0.0,0.0,0.0,0.0,5.61,0.0
633,1JCUM87E3ET011004,02,0.0,0.0,0.0,0.0,0.0,0.0
644,1FABP4035EG117941,01,0.0,0.0,0.0,0.0,0.0,0.0
644,1FABP4035EG117941,02,0.0,0.0,0.0,0.0,0.0,0.0
661,1G1AE67P7E7102611,01,0.0,0.0,0.0,0.0,0.0,0.0
661,1G1AE67P7E7102611,02,0.0,0.0,0.0,0.0,0.0,0.0
665,JP3BG39D7EZ400328,01,0.0,0.0,0.0,0.0,0.0,0.0
665,JP3BG39D7EZ400328,02,0.0,0.0,0.0,0.0,0.0,0.0
